,Value,Size,Type,Bind,Vis,Ndx,Name
,02013b89,66,FUNC,GLOBAL,DEFAULT,273,pl_kick_chr_wdt
,02013bcd,32,FUNC,GLOBAL,DEFAULT,274,pl_close_pre_chr_led
,02013bed,112,FUNC,GLOBAL,DEFAULT,275,pmic_init
,02013c5d,12,FUNC,GLOBAL,DEFAULT,276,gpt4_get_current_tick
,02013c69,32,FUNC,GLOBAL,DEFAULT,277,gpt4_timeout_tick
,02013c89,24,FUNC,GLOBAL,DEFAULT,278,gpt4_time2tick_us
,02013ca1,28,FUNC,GLOBAL,DEFAULT,279,gpt_busy_wait_us
,02013cbd,68,FUNC,GLOBAL,DEFAULT,280,gpt_busy_wait_ms
,02013d01,128,FUNC,GLOBAL,DEFAULT,281,get_timer
,02013d81,4,FUNC,GLOBAL,DEFAULT,282,mdelay
,02013d85,4,FUNC,GLOBAL,DEFAULT,283,udelay
,02013d89,68,FUNC,GLOBAL,DEFAULT,284,mtk_timer_init
,02013dcd,36,FUNC,LOCAL,DEFAULT,285,mtk_wdt_check_status
,02013df1,60,FUNC,LOCAL,DEFAULT,286,mtk_wdt_reset
,02013e2d,16,FUNC,GLOBAL,DEFAULT,287,mtk_wdt_restart
,02013e3d,68,FUNC,GLOBAL,DEFAULT,288,mtk_wdt_boot_check
,02013e81,556,FUNC,GLOBAL,DEFAULT,289,mtk_wdt_init
,020140ad,24,FUNC,GLOBAL,DEFAULT,290,mtk_arch_reset
,020140c5,156,FUNC,GLOBAL,DEFAULT,291,part_init
,02014161,50,FUNC,GLOBAL,DEFAULT,292,part_get
,02014195,396,FUNC,GLOBAL,DEFAULT,293,part_load
,02014321,128,FUNC,GLOBAL,DEFAULT,294,part_dump
,020143a1,144,FUNC,GLOBAL,DEFAULT,295,get_part_tab_from_complie
,02014431,496,FUNC,GLOBAL,DEFAULT,296,pmt_init
,02014621,112,FUNC,GLOBAL,DEFAULT,297,pmt_get_part
,02014691,56,FUNC,GLOBAL,DEFAULT,298,platform_vusb_on
,020146c9,14,FUNC,GLOBAL,DEFAULT,299,platform_wdt_all_kick
,020146d7,4,FUNC,GLOBAL,DEFAULT,300,platform_wdt_kick
,020146dd,64,FUNC,GLOBAL,DEFAULT,301,platform_safe_mode
,0201471d,52,FUNC,GLOBAL,DEFAULT,302,platform_emergency_downlo
,02014751,30,FUNC,GLOBAL,DEFAULT,303,platform_get_mcp_id
,0201476f,4,FUNC,GLOBAL,DEFAULT,304,platform_set_chrg_cur
,02014773,30,FUNC,GLOBAL,DEFAULT,305,usb_accessory_in
,02014791,92,FUNC,GLOBAL,DEFAULT,306,usb_cable_in
,020147ed,8,FUNC,GLOBAL,DEFAULT,307,platform_chip_ver
,020147f5,4,FUNC,GLOBAL,DEFAULT,308,platform_com_wait_forever
,020147f9,16,FUNC,GLOBAL,DEFAULT,309,platform_sram_repair_enab
,02014809,308,FUNC,GLOBAL,DEFAULT,310,platform_pre_init
,02014945,408,FUNC,GLOBAL,DEFAULT,311,platform_post_init
,02014add,92,FUNC,GLOBAL,DEFAULT,312,platform_error_handler
,02014b39,32,FUNC,GLOBAL,DEFAULT,313,platform_assert
,02014b59,24,FUNC,GLOBAL,DEFAULT,314,mtk_wdt_is_mem_preserved
,02014b71,420,FUNC,GLOBAL,DEFAULT,315,platform_init
,02014d15,36,FUNC,LOCAL,DEFAULT,316,outchar
,02014d39,48,FUNC,LOCAL,DEFAULT,317,outhex
,02014d69,42,FUNC,LOCAL,DEFAULT,318,outdec
,02014d95,68,FUNC,GLOBAL,DEFAULT,319,log_ctrl
,02014dd9,20,FUNC,GLOBAL,DEFAULT,320,log_status
,02014ded,290,FUNC,GLOBAL,DEFAULT,321,vprint
,02014f0f,24,FUNC,GLOBAL,DEFAULT,322,print
,02014f27,18,FUNC,GLOBAL,DEFAULT,323,dbg_print
,02014f39,176,FUNC,GLOBAL,DEFAULT,324,sec_cfg_load
,02014fe9,156,FUNC,GLOBAL,DEFAULT,325,sec_cfg_save
,02015085,288,FUNC,GLOBAL,DEFAULT,326,sec_lib_init
,020151a5,92,FUNC,GLOBAL,DEFAULT,327,is_BR_cmd_disabled
,02015201,68,FUNC,GLOBAL,DEFAULT,328,sec_auth
,0201524d,4,FUNC,GLOBAL,DEFAULT,329,sec_hash
,02015259,40,FUNC,GLOBAL,DEFAULT,330,da_auth_init
,02015289,40,FUNC,GLOBAL,DEFAULT,331,img_auth_init
,020152b9,52,FUNC,GLOBAL,DEFAULT,332,sec_boot_img_check
,020152f5,248,FUNC,GLOBAL,DEFAULT,333,sec_boot_check
,020153ed,2,FUNC,GLOBAL,DEFAULT,334,sec_ctrl_init
,020153ef,2,FUNC,GLOBAL,DEFAULT,335,sec_flashtool_cfg_init
,020153f1,128,FUNC,GLOBAL,DEFAULT,336,sec_key_init
,02015471,188,FUNC,GLOBAL,DEFAULT,337,sec_region_check
,0201552d,60,FUNC,GLOBAL,DEFAULT,338,sec_rom_info_init
,02015569,76,FUNC,GLOBAL,DEFAULT,339,factory_mode_valid
,020155b5,224,FUNC,GLOBAL,DEFAULT,340,sec_lib_read_secro
,02015695,388,FUNC,GLOBAL,DEFAULT,341,sec2plname
,02015819,8,FUNC,GLOBAL,DEFAULT,342,sec_util_get_secro_buf
,02015821,8,FUNC,GLOBAL,DEFAULT,343,sec_util_get_img_buf
,02015829,8,FUNC,GLOBAL,DEFAULT,344,sec_util_get_chunk_buf
,02015831,8,FUNC,GLOBAL,DEFAULT,345,sec_util_get_working_buf
,02015839,248,FUNC,GLOBAL,DEFAULT,346,sec_util_read_image
,02015931,4,FUNC,GLOBAL,DEFAULT,347,sec_util_brom_download_re
,02015935,16,FUNC,GLOBAL,DEFAULT,348,strlen
,02015945,26,FUNC,GLOBAL,DEFAULT,349,strcmp
,0201595f,32,FUNC,GLOBAL,DEFAULT,350,strncmp
,0201597f,16,FUNC,GLOBAL,DEFAULT,351,memset
,0201598f,18,FUNC,GLOBAL,DEFAULT,352,memcpy
,020159a1,28,FUNC,GLOBAL,DEFAULT,353,memcmp
,020159bd,48,FUNC,GLOBAL,DEFAULT,354,mtk_uart_power_on
,020159ed,120,FUNC,GLOBAL,DEFAULT,355,serial_setbrg
,02015a65,60,FUNC,GLOBAL,DEFAULT,356,mtk_serial_set_current_ua
,02015aa1,112,FUNC,GLOBAL,DEFAULT,357,mtk_uart_init
,02015b11,48,FUNC,GLOBAL,DEFAULT,358,PutUARTByte
,02015b41,92,FUNC,GLOBAL,DEFAULT,359,GetUARTBytes
,02015b9c,232,FUNC,GLOBAL,DEFAULT,360,seclib_sec_boot_enabled
,02015c94,740,FUNC,GLOBAL,DEFAULT,361,seclib_image_check
,02015fa8,140,FUNC,GLOBAL,DEFAULT,362,seclib_sec_usbdl_enabled
,02016044,100,FUNC,GLOBAL,DEFAULT,363,seclib_image_hash_compute
,020160b8,156,FUNC,LOCAL,DEFAULT,364,seclib_image_allocate_mem
,0201616c,192,FUNC,LOCAL,DEFAULT,365,seclib_image_fread
,0201625c,304,FUNC,GLOBAL,DEFAULT,366,seclib_image_hash_only
,0201639c,368,FUNC,GLOBAL,DEFAULT,367,seclib_image_search_exten
,02016514,1688,FUNC,GLOBAL,DEFAULT,368,seclib_image_verify
,02016bf4,108,FUNC,GLOBAL,DEFAULT,369,seclib_read_sbc_key
,02016c68,116,FUNC,GLOBAL,DEFAULT,370,seclib_read_sec_cmd_cfg
,02016cdc,32,FUNC,GLOBAL,DEFAULT,371,seclib_sej_init
,02016cfc,132,FUNC,GLOBAL,DEFAULT,372,seclib_cust_init
,02016d90,4,FUNC,GLOBAL,DEFAULT,373,seclib_check
,02016d94,720,FUNC,GLOBAL,DEFAULT,374,seclib_init
,02017084,264,FUNC,GLOBAL,DEFAULT,375,seclib_secroimg_read
,020171b4,116,FUNC,GLOBAL,DEFAULT,376,sp_read_swotp
,02017238,168,FUNC,GLOBAL,DEFAULT,377,sp_sej_enc
,020172e8,196,FUNC,GLOBAL,DEFAULT,378,sp_sej_dec
,020173bc,124,FUNC,GLOBAL,DEFAULT,379,sp_sej_init
,02017440,104,FUNC,GLOBAL,DEFAULT,380,seclib_image_hash_dump
,020174b0,8,FUNC,GLOBAL,DEFAULT,381,get_sec_cfg_cnt_size
,020174b8,8,FUNC,GLOBAL,DEFAULT,382,get_seccfg_cipher_len
,020174c0,8,FUNC,GLOBAL,DEFAULT,383,seclib_mtk_rsa_n_key_len
,020174c8,8,FUNC,GLOBAL,DEFAULT,384,seclib_mtk_rsa_e_key_len
,020174d0,240,FUNC,GLOBAL,DEFAULT,385,seclib_rsa_init
,020175d0,232,FUNC,GLOBAL,DEFAULT,386,seclib_rsa_verify
,020176c0,500,FUNC,GLOBAL,DEFAULT,387,bgn_read_str
,020178b4,160,FUNC,GLOBAL,DEFAULT,388,bgn_read_bin
,02017954,120,FUNC,GLOBAL,DEFAULT,389,bgn_write_bin
,020179d4,136,FUNC,GLOBAL,DEFAULT,390,bgn_grow
,02017a6c,148,FUNC,GLOBAL,DEFAULT,391,bgn_copy
,02017b10,88,FUNC,GLOBAL,DEFAULT,392,bgn_lset
,02017b70,100,FUNC,GLOBAL,DEFAULT,393,bgn_msb
,02017bd4,20,FUNC,GLOBAL,DEFAULT,394,bgn_size
,02017be8,264,FUNC,GLOBAL,DEFAULT,395,bgn_shift_l
,02017cf0,212,FUNC,GLOBAL,DEFAULT,396,bgn_shift_r
,02017dc4,208,FUNC,GLOBAL,DEFAULT,397,bgn_cmp_abs
,02017e94,256,FUNC,GLOBAL,DEFAULT,398,bgn_cmp_num
,02017f94,64,FUNC,GLOBAL,DEFAULT,399,bgn_cmp_int
,02017fd4,320,FUNC,GLOBAL,DEFAULT,400,bgn_add_abs
,02018114,128,FUNC,GLOBAL,DEFAULT,401,bgn_sub_hlp
,02018194,208,FUNC,GLOBAL,DEFAULT,402,bgn_sub_abs
,02018264,128,FUNC,GLOBAL,DEFAULT,403,bgn_add_bgn
,020182e4,132,FUNC,GLOBAL,DEFAULT,404,bgn_sub_bgn
,02018368,64,FUNC,GLOBAL,DEFAULT,405,bgn_add_int
,020183a8,64,FUNC,GLOBAL,DEFAULT,406,bgn_sub_int
,020183e8,2564,FUNC,GLOBAL,DEFAULT,407,bgn_mul_hlp
,02018dec,340,FUNC,GLOBAL,DEFAULT,408,bgn_mul_bgn
,02018f40,44,FUNC,GLOBAL,DEFAULT,409,bgn_mul_int
,02018f6c,1488,FUNC,GLOBAL,DEFAULT,410,bgn_div_bgn
,0201953c,180,FUNC,GLOBAL,DEFAULT,411,bgn_mod_bgn
,020195f0,176,FUNC,GLOBAL,DEFAULT,412,rsa_pub
,020196a0,204,FUNC,GLOBAL,DEFAULT,413,rsa_verify
,02019774,36,FUNC,GLOBAL,DEFAULT,414,get_ul
,02019798,32,FUNC,GLOBAL,DEFAULT,415,set_ul
,020197b8,176,FUNC,GLOBAL,DEFAULT,416,cal_P
,02019868,1088,FUNC,LOCAL,DEFAULT,417,hash_process
,02019ca8,76,FUNC,GLOBAL,DEFAULT,418,hash_starts
,02019cf4,188,FUNC,GLOBAL,DEFAULT,419,hash_update
,02019db8,152,FUNC,GLOBAL,DEFAULT,420,hash_finish
,02019e50,80,FUNC,GLOBAL,DEFAULT,421,sha1
,02019ea8,188,FUNC,GLOBAL,DEFAULT,422,malloc
,02019f6c,4,FUNC,GLOBAL,DEFAULT,423,free
,02019f70,24,FUNC,GLOBAL,DEFAULT,424,bgn_init
,02019f88,68,FUNC,GLOBAL,DEFAULT,425,bgn_free
,02019fd4,1024,FUNC,GLOBAL,DEFAULT,426,bgn_exp_mod
,0201a3e4,64,FUNC,GLOBAL,DEFAULT,427,montg_init
,0201a424,320,FUNC,GLOBAL,DEFAULT,428,montg_mul
,0201a574,64,FUNC,GLOBAL,DEFAULT,429,montg_red
,0201a5b4,96,FUNC,GLOBAL,DEFAULT,430,seclib_sbc_enabled
,0201a61c,96,FUNC,GLOBAL,DEFAULT,431,seclib_daa_enabled
,0201a684,96,FUNC,GLOBAL,DEFAULT,432,seclib_sla_enabled
,0201a6ec,84,FUNC,GLOBAL,DEFAULT,433,seclib_get_devinfo_with_i
,0201a748,16,FUNC,GLOBAL,DEFAULT,434,seclib_brom_meta_mode
,0201a758,88,FUNC,GLOBAL,DEFAULT,435,seclib_region_check
,0201a7b0,268,FUNC,GLOBAL,DEFAULT,436,SEJ_V3_Init
,0201a8bc,132,FUNC,GLOBAL,DEFAULT,437,SEJ_V3_Run
,0201a940,56,FUNC,GLOBAL,DEFAULT,438,SEJ_V3_Terminate
,0201a978,8,FUNC,GLOBAL,DEFAULT,439,sej_set_clk
,0201a980,36,FUNC,GLOBAL,DEFAULT,440,sej_set_iv
,0201a9ac,108,FUNC,GLOBAL,DEFAULT,441,sej_set_mode
,0201aa20,268,FUNC,GLOBAL,DEFAULT,442,sej_set_key
,0201ab2c,268,FUNC,GLOBAL,DEFAULT,443,sej_do_aes
,0201ac40,28,FUNC,GLOBAL,DEFAULT,444,sej_deinit
,0201ac5c,288,FUNC,GLOBAL,DEFAULT,445,sej_init
,0201e6a1,16,OBJECT,GLOBAL,DEFAULT,448,tran_mant
,0201e6b4,32,OBJECT,GLOBAL,DEFAULT,449,tran_exp
,0201e6d4,32,OBJECT,LOCAL,DEFAULT,450,tacc_exp
,0201e6f4,64,OBJECT,LOCAL,DEFAULT,451,tacc_mant
,0201e734,36,OBJECT,LOCAL,DEFAULT,452,msdc_rsp
,0201e758,19,OBJECT,LOCAL,DEFAULT,453,__func__.5418
,0201e76b,20,OBJECT,LOCAL,DEFAULT,454,__FUNCTION__.4071
,0201e77f,19,OBJECT,LOCAL,DEFAULT,455,__FUNCTION__.4039
,0201e792,22,OBJECT,LOCAL,DEFAULT,456,__FUNCTION__.4079
,0201e7a8,26,OBJECT,LOCAL,DEFAULT,457,__FUNCTION__.3912
,0201e7c2,16,OBJECT,LOCAL,DEFAULT,458,__FUNCTION__.4023
,0201e7d2,11,OBJECT,LOCAL,DEFAULT,459,__FUNCTION__.4090
,0201e7dd,12,OBJECT,LOCAL,DEFAULT,460,__FUNCTION__.3993
,0201e7e9,21,OBJECT,LOCAL,DEFAULT,461,__FUNCTION__.4053
,0201e7fe,20,OBJECT,LOCAL,DEFAULT,462,__FUNCTION__.3953
,0201e812,25,OBJECT,LOCAL,DEFAULT,463,__FUNCTION__.3932
,0201e82b,21,OBJECT,LOCAL,DEFAULT,464,__FUNCTION__.4117
,0201e840,18,OBJECT,LOCAL,DEFAULT,465,__func__.4267
,0201e852,22,OBJECT,LOCAL,DEFAULT,466,__func__.4280
,0201e868,120,OBJECT,GLOBAL,DEFAULT,467,ana_io_ies_value
,0201e8e0,24,OBJECT,LOCAL,DEFAULT,468,__func__.4197
,0201e8f8,4,OBJECT,GLOBAL,DEFAULT,469,sys_stack_sz
,0201e8fc,64,OBJECT,LOCAL,DEFAULT,470,padding
,0201e93c,48,OBJECT,LOCAL,DEFAULT,471,g_AC_FIXED_PATTERN
,0201e980,960,OBJECT,LOCAL,DEFAULT,473,platform_parts
,0201ed40,4,OBJECT,GLOBAL,DEFAULT,474,num_of_emi_records
,0201ed44,984,OBJECT,GLOBAL,DEFAULT,475,emi_settings
,0201f11c,154,OBJECT,GLOBAL,DEFAULT,476,PULL_offset
,0201f1b6,154,OBJECT,GLOBAL,DEFAULT,477,PULLEN_offset
,0201f250,4,OBJECT,LOCAL,DEFAULT,478,gpio_dat
,0201f254,616,OBJECT,GLOBAL,DEFAULT,479,PULL_addr
,0201f4bc,616,OBJECT,GLOBAL,DEFAULT,480,PULLEN_addr
,0201f724,20,OBJECT,GLOBAL,DEFAULT,481,msdc_cap
,0201f738,32,OBJECT,GLOBAL,DEFAULT,482,msdc_src_clks
,0201f758,4,OBJECT,LOCAL,DEFAULT,483,mdl_number.4235
,0201f75c,7,OBJECT,LOCAL,DEFAULT,484,g_line_coding
,0201f764,4,OBJECT,GLOBAL,DEFAULT,485,fifo_addr
,0201f768,8,OBJECT,LOCAL,DEFAULT,486,fs_data_ep_descriptor_ptr
,0201f770,24,OBJECT,LOCAL,DEFAULT,487,usbtty_string_table
,0201f788,5,OBJECT,LOCAL,DEFAULT,488,header_function_descripto
,0201f790,4,OBJECT,LOCAL,DEFAULT,489,fs_comm_ep_descriptor_ptr
,0201f794,4,OBJECT,LOCAL,DEFAULT,490,hs_comm_ep_descriptor_ptr
,0201f798,5,OBJECT,GLOBAL,DEFAULT,491,call_management_descripto
,0201f79d,9,OBJECT,LOCAL,DEFAULT,492,device_qualifier_descript
,0201f7a8,8,OBJECT,LOCAL,DEFAULT,493,hs_data_ep_descriptor_ptr
,0201f7b0,4,OBJECT,LOCAL,DEFAULT,494,language
,0201f7b4,21,OBJECT,LOCAL,DEFAULT,495,hs_ep_descriptors
,0201f7c9,18,OBJECT,LOCAL,DEFAULT,496,device_descriptor
,0201f7db,4,OBJECT,LOCAL,DEFAULT,497,abstract_control_descript
,0201f7df,21,OBJECT,LOCAL,DEFAULT,498,fs_ep_descriptors
,0201f7f4,18,OBJECT,LOCAL,DEFAULT,499,interface_descriptors
,0201f806,9,OBJECT,LOCAL,DEFAULT,500,config_descriptors
,0201f80f,5,OBJECT,GLOBAL,DEFAULT,501,union_function_descriptor
,0201f814,4,OBJECT,LOCAL,DEFAULT,502,log_ptr
,0201f818,4,OBJECT,GLOBAL,DEFAULT,503,g_uart
,0201f81c,16,OBJECT,GLOBAL,DEFAULT,504,sec_crypto_sig_size
,0201f82c,20,OBJECT,GLOBAL,DEFAULT,505,sec_crypto_hash_size
,0201f840,4,OBJECT,GLOBAL,DEFAULT,506,heap_max_size
,0201f844,104,OBJECT,GLOBAL,DEFAULT,507,g_devinfo_data_addr
,11141941,172,FUNC,GLOBAL,DEFAULT,509,mtk_pll_init
,81d00000,0x20000,OBJECT,GLOBAL,DEFAULT,510,emmc_pmt_buf
